K,X
0,40.72822919
0,61.01068629
1,50.76769036
0,57.37297402
1,63.80485082
0,40.2991649
0,24.12345678
0,61.05219325
1,70.22108176
0,37.16317408
0,43.67779071
1,20.72836581
0,32.09665461
1,24.11285303
0,39.45538704
0,54.56825294
1,30.74869131
0,35.428018
1,30.88907772
0,46.80880499
0,28.9590719
0,40.22295308
0,39.21033004
0,49.02376939
0,30.50995346
0,50.16411676
1,57.2828907
0,47.62302584
1,66.61101408
0,41.78573697
0,47.78440339
0,35.42795565
0,49.42255844
0,36.56977451
0,65.63716623
0,38.16359656
0,49.11977874
0,53.25243505
1,59.03306946
1,46.04716525
0,62.04157813
0,43.53861145
0,42.3590816
0,62.24048436
0,54.12405242
0,40.2646665
0,32.18768889
0,50.60821634
0,52.61849245
0,51.3815759
0,45.68164474
0,46.83321201
0,40.15473693
0,71.06843603
0,61.89811154
0,49.4086565
1,71.24422434
1,51.50382287
1,62.09237324
0,48.10625736
0,47.55281443
0,55.22231292
0,46.56192027
0,42.32816348
0,40.16404767
0,28.88683391
0,36.72984706
0,56.14574206
0,53.30072697
0,33.79108155
0,44.46074376
0,36.79607254
0,36.16671517
0,56.33160731
0,58.06819032
0,43.21936321
0,46.94896657
0,62.57942566
0,45.57333772
0,48.24639005
0,40.76070184
0,68.68972725
0,61.86493563
0,47.29152327
0,60.26341629
0,59.55960971
0,59.19569385
0,42.89525134
0,48.34411845
0,47.39479464
0,59.26918752
0,36.90361052
0,63.54514364
1,71.27751343
0,47.95303604
0,48.24344872
1,77.52478843
0,38.69223054
0,52.47679203
0,36.6214893
0,54.03796991
0,56.84972745
0,62.96349627
0,43.79486781
0,63.2063003
0,50.73965265
0,29.68437452
0,42.64559385
0,53.99757745
0,36.10681847
0,31.78086874
0,36.64176827
0,59.02289332
0,41.11417077
0,46.977897
0,32.01581103
0,64.86117083
0,51.66912443
0,46.40977078
0,40.05011057
0,55.74119918
0,43.57118937
0,29.40875589
0,66.7466642
0,61.57517759
0,56.96816885
0,53.47821484
0,35.84844128
0,37.05837893
0,53.36680911
0,35.00611797
0,34.62937599
0,52.58459426
0,57.93772765
0,49.88595804
0,41.06073001
0,40.80314578
0,50.10294158
0,34.18447277
1,71.618421
0,40.37079294
0,41.83307711
0,50.46685828
0,53.67424709
0,50.92185054
0,48.36830331
0,54.85446774
0,41.11377664
0,52.70167008
0,42.83176029
0,45.56430395
1,56.72613622
0,28.04788904
0,34.61224825
1,57.83643023
1,72.64279702
0,55.69888221
0,42.10109891
0,38.80933941
0,45.22108138
0,47.92458609
0,45.86040872
0,23.62675438
0,58.50646853
0,59.49789206
0,60.62639719
0,51.58891606
0,53.67332289
0,39.89142347
0,53.33648465
0,40.30686039
0,37.41599306
0,56.57224189
0,48.07593974
0,52.55316939
0,39.0003204
0,51.68434958
0,50.39784572
0,35.8174184
0,52.99469194
0,50.11439913
0,55.5578493
0,52.67156662
0,51.47064687
1,51.6922904
0,52.63606457
0,51.18375898
1,64.58254323
1,63.25175413
0,48.72874268
0,27.76808328
0,54.2597996
0,53.67260782
0,19.55705553
0,60.33137925
0,38.91535518
0,45.43740455
0,42.88299079
0,51.47826824
0,25.45049116
0,49.58052981
0,46.95933773
0,57.91749513
0,46.94160299
0,55.6510909
0,46.09366763
0,68.86596697
0,57.31581992
0,56.64215859
0,43.28026164
0,42.06958449
0,34.97073464
1,32.54582475
0,44.69293517
0,46.68081961
1,63.43213298
0,45.22323339
0,63.28769711
0,71.82220199
0,48.55527505
0,40.36211382
0,46.73588152
0,56.12898725
0,68.67680875
0,55.39129336
0,34.90090623
0,52.89853802
0,44.93983112
0,45.37688831
0,59.11245869
0,50.3983663
0,40.09267219
0,48.47956109
0,60.63185227
0,47.78883003
0,62.00756884
0,58.74721243
0,32.39353281
0,44.88595886
0,68.19997544
0,48.19646061
0,37.3920028
0,44.90436152
0,49.56080652
0,60.97933387
0,48.8515645
0,52.41518774
0,49.45968227
1,72.61769203
0,39.46963633
0,50.92389973
0,49.24836591
0,62.26533097
0,41.90921845
0,70.15539886
0,55.879886
0,59.72929902
0,66.83890337
0,49.25919656
0,59.35219711
0,58.23002822
0,59.79588694
0,61.36622224
1,32.63044101
0,57.91730735
0,50.29496643
0,47.7761192
1,33.16240782
0,64.28211991
0,46.5896405
1,77.43391335
0,51.59651745
0,70.14623227
0,41.15598494
0,44.1276032
0,62.78464547
0,64.9615457
0,59.23308953
0,56.81301776
0,46.10602877
0,57.47639327
0,51.94836101
0,64.70156235
0,66.39986287
0,38.05026577
0,42.9329825
0,58.34347139
0,51.06484417
0,59.24517099
0,34.54044736
0,53.31115242
0,48.74784098
0,42.88329996
0,53.8780799
1,60.94867222
0,38.06720226
0,43.24168603
